gold_label,premise,hypothesis,machine_explanation,explanation
1,this church choir sings to the masses as they sing joyous songs from the book at a church,the church has cracks in the ceiling, the roof is falling down.The church was built in 1882 and is located in a small town in southern Illinois. The church's name is a reference to a famous song by the same name., The roof is falling down The church was built in 1882 and is located in a small town in southern Illinois. The church's name is a reference to a famous song by the same name
0,this church choir sings to the masses as they sing joyous songs from the book at a church,the church is filled with song," the choir is singing joyously.The church has a choir. The choir has songs. It is a part of the congregation. This church does not have a singing choir, but it does have the singing church.", The choir is singing joyously The church has a choir The choir has songs It is a part of the congregation This church does not have a singing choir but it does have the singing church
2,this church choir sings to the masses as they sing joyous songs from the book at a church,a choir singing at a baseball game," the church is singing to a different choir.The church sings a song to celebrate the birth of Jesus Christ. The church does not sing a hymn to Jesus. It does sing the hymns of the gospel. This is a contradiction. If the choir sang a gospel song, it would be a violation of Scripture. But the congregation does the same thing. They sing to praise the Lord. That is not a sin.", The church is singing to a different choir The church sings a song to celebrate the birth of Jesus Christ. The church does not sing a hymn to Jesus. It does sing the hymns of the gospel This is a contradiction If the choir sang a gospel song it would be a violation of Scripture. But the congregation does the same thing They sing to praise the Lord. That is not a sing
1,a woman with a green headscarf blue shirt and a very big grin,the woman is young, she is a girl.The woman in the picture is the daughter of a man who is married to a woman who has a red headdress. The woman's father is also married. She is very young. This is because the man in this picture has been married for a long time. He is in his late 40s. His wife is his daughter. They are both very old. It is possible that the girl in that picture was born in a different country., She is a girl The woman in the picture is the daughter of a man who is married to a woman who has a red headdress The woman's father is also married She is very young This is because the man in this picture has been married for a long time He is in his late 40s. His wife is his daughter They are both very old It is possible that the girl in that picture was born in a different country
0,a woman with a green headscarf blue shirt and a very big grin,the woman is very happy," she is a Muslim.The woman's face is covered by a veil, and she wears a head scarf. She is wearing a black headband with the word ""Allah"" written on it. The woman has a large smile on her face. Her face has been covered with black cloth. It is not clear if she has any beard. This is the first time I have seen a woman wearing the head veil in the UK. I am not sure if this is an Islamic practice"," She is a Muslim. The woman's face is covered by a veil and she wears a headscarf She is wearing a black headband with the word ""Allah"" written on it The woman has a large smile on her face Her face has been covered with black cloth It is not clear if she has any beard This is the first time I have seen a woman wearing the head veil in the UK. I am not sure if this is an Islamic practice"
2,a woman with a green headscarf blue shirt and a very big grin,the woman has been shot, she is wearing a hijab.The woman was shot in the head by a man who was trying to rob her in a parking lot in downtown Los Angeles. The man was arrested and charged with attempted murder., She is wearing a hijack The woman was shot in the head by a man who was trying to rob her in a parking lot in downtown Los Angeles. The man was arrested and charged with attempted murder
0,an old man with a package poses in front of an advertisement,a man poses in front of an ad," he is a woman.The ad is for a new product called ""The New Face of Beauty."" The ad features a young woman with long, dark hair and a face that is ""perfectly symmetrical."",."," He is a woman The ad is for a new product called ""The New Face of Beauty."" The ad features a young woman with long dark hair and a face that is perfectly symmetrical."","
1,an old man with a package poses in front of an advertisement,a man poses in front of an ad for beer," he is a beer drinker.The man in the ad is wearing a shirt that says ""I'm a Beer Drinker"" and is holding a bottle of beer. The ad was posted on the Facebook page of the local newspaper, the San Francisco Chronicle. It was removed from the page after the Chronicle reported that the man was a former employee of a local brewery."," He is a beer drinker The man in the ad is wearing a shirt that says ""I'm a Beer Drinker"" and is holding a bottle of beer The ad was posted on the Facebook page of the local newspaper the San Francisco Chronicle. It was removed from the page after the Chronicle reported that the man was a former employee of a local brewery"
2,an old man with a package poses in front of an advertisement,a man walks by an ad," he is wearing a shirt that says ""I'm a woman"" in the background.The ad, which was posted on the website of the German newspaper Bild, was taken down after it was discovered to be offensive. The ad was also removed from the site of a German television station."," He is wearing a shirt that says ""I'm a woman in the background The add which was posted on the website of the German newspaper Build, was taken down after it was discovered to be offensive The ad was also removed from the site of a German television station"
1,a statue at a museum that no seems to be looking at,the statue is offensive and people are mad that it is on display," it's a statue of a woman.The statue was erected in the early 1900s by the American sculptor, William H. Hays, who was born in New York City. The statue depicts a young woman with a baby in her arms. It was designed by Huesmann, a sculptural artist who also designed the Statue of Liberty."," It's a statue of a woman The statue was erected in the early 1900s by the American sculptor William H. Hays, who was born in New York City. The statue depicts a young woman with a baby in her arms It was designed by Hermann, a sculptural artist who also designed the Statue of Liberty."
